#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
3,ShareChat,Bengaluru,India,Asia,200.0,2023-12-20,15.0,1333.0,1133.0,Consumer,Series H,1700,2023,12.97194,77.59369
4,InSightec,Haifa,Israel,Asia,100.0,2023-12-19,20.0,500.0,400.0,Healthcare,Unknown,733,2023,32.81841,34.9885
6,Enphase Energy,San Francisco Bay Area,USA,North America,350.0,2023-12-18,10.0,3500.0,3150.0,Energy,Post-IPO,116,2023,37.54827,-121.98857
7,Udaan,Bengaluru,India,Asia,100.0,2023-12-18,10.0,1000.0,900.0,Retail,Unknown,0,2023,12.97194,77.59369
14,Cruise,San Francisco Bay Area,USA,North America,900.0,2023-12-14,24.0,3750.0,2850.0,Transportation,Acquired,15000,2023,37.77493,-122.41942
16,Bolt,San Francisco Bay Area,USA,North America,130.0,2023-12-14,29.0,450.0,320.0,Finance,Series E,1300,2023,37.77493,-122.41942
20,Invitae,San Francisco Bay Area,USA,North America,235.0,2023-12-13,15.0,1567.0,1332.0,Healthcare,Post-IPO,0,2023,37.77493,-122.41942
21,Etsy,New York City,USA,North America,225.0,2023-12-13,11.0,2045.0,1820.0,Retail,Post-IPO,97,2023,40.71427,-74.00597
27,Chipper Cash,San Francisco Bay Area,USA,North America,15.0,2023-12-11,33.0,45.0,30.0,Finance,Series C,302,2023,37.77493,-122.41942
31,Zulily,Seattle,USA,North America,839.0,2023-12-08,100.0,839.0,0.0,Retail,Acquired,194,2023,47.60621,-122.33207
37,ZestMoney,Bengaluru,India,Asia,150.0,2023-12-05,100.0,150.0,0.0,Finance,Series C,120,2023,12.97194,77.59369
38,Navan,San Francisco Bay Area,USA,North America,145.0,2023-12-05,5.0,2900.0,2755.0,Finance,Unknown,0,2023,37.44188,-122.14302
39,Incredibuild,Tel Aviv,Israel,Asia,40.0,2023-12-05,20.0,200.0,160.0,Product,Series B,35,2023,32.08088,34.78057
44,Spotify,Stockholm,Sweden,Europe,1500.0,2023-12-04,17.0,9200.0,7700.0,Media,Post-IPO,2100,2023,59.32938,18.06871
50,Loco,Mumbai,India,Asia,40.0,2023-11-30,36.0,111.0,71.0,Consumer,Acquired,52,2023,19.07283,72.88261
51,Zepz,London,United Kingdom,Europe,30.0,2023-11-30,2.0,1500.0,1470.0,Finance,Series E,700,2023,51.50853,-0.12574
56,Unity,San Francisco Bay Area,USA,North America,265.0,2023-11-28,4.0,6625.0,6360.0,Other,Post-IPO,1300,2023,37.77493,-122.41942
57,Dataminr,New York City,USA,North America,150.0,2023-11-28,20.0,750.0,600.0,AI,Series F,1100,2023,40.71427,-74.00597
62,Our Next Energy,Detroit,USA,North America,128.0,2023-11-27,25.0,512.0,384.0,Transportation,Series B,390,2023,42.33143,-83.04575
70,Physics Wallah,Noida,India,Asia,120.0,2023-11-19,1.0,12000.0,11880.0,Education,Series A,100,2023,8.49615,77.53601
91,TripAdvisor,Boston,USA,North America,125.0,2023-11-12,4.0,3125.0,3000.0,Travel,Post-IPO,3,2023,42.35843,-71.05977
110,Viasat,San Diego,USA,North America,800.0,2023-11-02,10.0,8000.0,7200.0,Other,Post-IPO,366,2023,32.71571,-117.16472
111,Beyond Meat,Los Angeles,USA,North America,65.0,2023-11-02,8.0,813.0,748.0,Food,Post-IPO,122,2023,34.05223,-118.24368
115,Splunk,San Francisco Bay Area,USA,North America,500.0,2023-11-01,7.0,7143.0,6643.0,Data,Post-IPO,2400,2023,37.77493,-122.41942
116,Faire,San Francisco Bay Area,USA,North America,250.0,2023-11-01,20.0,1250.0,1000.0,Retail,Series G,1700,2023,37.77493,-122.41942
117,Sana Benefits,Austin,USA,North America,73.0,2023-11-01,50.0,146.0,73.0,HR,Series B,106,2023,30.26715,-97.74306
122,Hippo Insurance,San Francisco Bay Area,USA,North America,120.0,2023-10-26,20.0,600.0,480.0,Finance,Post-IPO,1300,2023,37.44188,-122.14302
130,SiFive,San Francisco Bay Area,USA,North America,130.0,2023-10-24,20.0,650.0,520.0,Hardware,Series F,365,2023,37.35411,-121.95524
135,Nomad Health,New York City,USA,North America,119.0,2023-10-20,17.0,700.0,581.0,Healthcare,Unknown,218,2023,40.71427,-74.00597
138,Convoy,Seattle,USA,North America,500.0,2023-10-19,100.0,500.0,0.0,Logistics,Series E,1100,2023,47.60621,-122.33207
139,Bullhorn,Boston,USA,North America,140.0,2023-10-19,9.0,1556.0,1416.0,Sales,Acquired,32,2023,42.35843,-71.05977
141,StellarAlgo,Calgary,Canada,North America,21.0,2023-10-19,28.0,75.0,54.0,Data,Series A,16,2023,51.05011,-114.08529
142,ManoMano,Paris,France,Europe,230.0,2023-10-18,25.0,920.0,690.0,Retail,Series F,705,2023,48.85341,2.3488
144,WeTranSan Franciscoer,Amsterdam,Netherlands,Europe,35.0,2023-10-18,10.0,350.0,315.0,Other,Series A,64,2023,52.37403,4.88969
151,LinkedIn,San Francisco Bay Area,USA,North America,660.0,2023-10-16,3.0,22000.0,21340.0,Recruiting,Acquired,154,2023,37.36883,-122.03635
153,C2FO,Kansas City,USA,North America,80.0,2023-10-16,3.0,2667.0,2587.0,Finance,Series H,537,2023,39.09973,-94.57857
162,Lending Club,San Francisco Bay Area,USA,North America,172.0,2023-10-12,14.0,1229.0,1057.0,Finance,Post-IPO,392,2023,37.77493,-122.41942
163,MariaDB,San Francisco Bay Area,USA,North America,84.0,2023-10-12,28.0,300.0,216.0,Data,Post-IPO,272,2023,37.48522,-122.23635
164,Deepgram,San Francisco Bay Area,USA,North America,20.0,2023-10-11,20.0,100.0,80.0,AI,Series B,86,2023,37.77493,-122.41942
167,Carbon Health,San Francisco Bay Area,USA,North America,114.0,2023-10-09,5.0,2280.0,2166.0,Healthcare,Series D,522,2023,37.77493,-122.41942
172,InvestCloud,Los Angeles,USA,North America,80.0,2023-10-06,5.0,1600.0,1520.0,Finance,Private Equity …,54,2023,34.05223,-118.24368
179,SchoolMint,San Francisco Bay Area,USA,North America,29.0,2023-10-05,14.0,207.0,178.0,Education,Acquired,8,2023,37.77493,-122.41942
181,Arrival,London,United Kingdom,Europe,200.0,2023-10-05,25.0,800.0,600.0,Transportation,Post-IPO,629,2023,51.50853,-0.12574
183,Qualtrics,Salt Lake City,USA,North America,780.0,2023-10-04,14.0,5571.0,4791.0,Other,Post-IPO,400,2023,40.76078,-111.89105
184,Hopper,Montreal,Canada,North America,250.0,2023-10-04,30.0,833.0,583.0,Travel,Unknown,730,2023,45.50884,-73.58781
191,Chainalysis,New York City,USA,North America,150.0,2023-10-02,15.0,1000.0,850.0,Crypto,Series F,536,2023,40.71427,-74.00597
192,Synapse,San Francisco Bay Area,USA,North America,86.0,2023-10-02,40.0,215.0,129.0,Finance,Series B,50,2023,37.77493,-122.41942
193,Chia Network,San Francisco Bay Area,USA,North America,26.0,2023-10-02,37.0,70.0,44.0,Crypto,Series D,70,2023,37.77493,-122.41942
196,Cowbell,San Francisco Bay Area,USA,North America,28.0,2023-09-29,12.0,233.0,205.0,Finance,Series B,123,2023,37.66243,-121.87468
200,Epic Games,Raleigh,USA,North America,870.0,2023-09-28,16.0,5438.0,4568.0,Consumer,Unknown,0,2023,35.7721,-78.63861
205,Fi.Money,Bengaluru,India,Asia,30.0,2023-09-27,10.0,300.0,270.0,Finance,Series C,137,2023,12.97194,77.59369
206,Dunzo,Bengaluru,India,Asia,150.0,2023-09-26,30.0,500.0,350.0,Food,Unknown,458,2023,12.97194,77.59369
207,Flexe,Seattle,USA,North America,131.0,2023-09-26,33.0,397.0,266.0,Logistics,Series D,263,2023,47.60621,-122.33207
209,Lucid Software,Salt Lake City,USA,North America,75.0,2023-09-25,7.0,1071.0,996.0,Other,Series E,170,2023,40.76078,-111.89105
225,7shifts,Saskatoon,Canada,North America,30.0,2023-09-15,7.0,429.0,399.0,Food,Series C,131,2023,52.13238,-106.66892
227,Airtable,San Francisco Bay Area,USA,North America,237.0,2023-09-14,27.0,878.0,641.0,Product,Series F,1400,2023,37.77493,-122.41942
229,VideoAmp,Los Angeles,USA,North America,40.0,2023-09-14,10.0,400.0,360.0,Marketing,Series F,456,2023,34.05223,-118.24368
233,Evolve,Denver,USA,North America,175.0,2023-09-12,20.0,875.0,700.0,Travel,Series F,224,2023,39.73915,-104.9847
235,Paper,Montreal,Canada,North America,87.0,2023-09-12,3.0,2900.0,2813.0,Education,Series D,389,2023,45.50884,-73.58781
236,Homeday,Berlin,Germany,Europe,40.0,2023-09-12,20.0,200.0,160.0,Real Estate,Unknown,71,2023,52.52437,13.41053
237,At-Bay,San Francisco Bay Area,USA,North America,27.0,2023-09-12,9.0,300.0,273.0,Security,Unknown,296,2023,37.77493,-122.41942
239,Chargebee,San Francisco Bay Area,USA,North America,100.0,2023-09-11,10.0,1000.0,900.0,Finance,Series H,468,2023,37.77493,-122.41942
241,Grabango,San Francisco Bay Area,USA,North America,34.0,2023-09-11,40.0,85.0,51.0,Food,Unknown,94,2023,37.87159,-122.27275
247,Drift,Boston,USA,North America,100.0,2023-09-07,25.0,400.0,300.0,Marketing,Acquired,107,2023,42.35843,-71.05977
249,Roku,San Francisco Bay Area,USA,North America,360.0,2023-09-06,10.0,3600.0,3240.0,Media,Post-IPO,208,2023,37.33939,-121.89496
255,Absci,Portland,USA,North America,30.0,2023-09-05,15.0,200.0,170.0,Healthcare,Post-IPO,238,2023,45.52345,-122.67621
256,Hodinkee,New York City,USA,North America,24.0,2023-09-05,20.0,120.0,96.0,Retail,Seed,40,2023,40.71427,-74.00597
260,Nexar,New York City,USA,North America,17.0,2023-09-04,14.0,121.0,104.0,Transportation,Series D,149,2023,40.71427,-74.00597
270,Omuni,Bengaluru,India,Asia,60.0,2023-08-30,35.0,171.0,111.0,Retail,Acquired,10,2023,12.97194,77.59369
271,Kenko Health,Mumbai,India,Asia,50.0,2023-08-30,20.0,250.0,200.0,Healthcare,Series A,14,2023,19.07283,72.88261
272,Huma,London,United Kingdom,Europe,45.0,2023-08-30,10.0,450.0,405.0,Healthcare,Unknown,217,2023,51.50853,-0.12574
273,Zeplin,San Francisco Bay Area,USA,North America,37.0,2023-08-30,35.0,106.0,69.0,Product,Seed,1,2023,37.77493,-122.41942
274,Kenko Health,Mumbai,India,Asia,50.0,2023-08-29,20.0,250.0,200.0,Healthcare,Unknown,14,2023,19.07283,72.88261
276,Zebra Technologies,Chicago,USA,North America,700.0,2023-08-28,7.0,10000.0,9300.0,Manufacturing,Post-IPO,0,2023,41.85003,-87.65005
283,Captiv8,San Francisco Bay Area,USA,North America,8.0,2023-08-24,3.0,267.0,259.0,Marketing,Unknown,4,2023,37.56299,-122.32553
285,Atlas,Chicago,USA,North America,150.0,2023-08-23,30.0,500.0,350.0,HR,Series B,220,2023,41.85003,-87.65005
286,Veriff,Tallinn,Estonia,Europe,101.0,2023-08-23,21.0,481.0,380.0,Security,Series C,192,2023,59.43696,24.75353
287,BlackLine,Los Angeles,USA,North America,95.0,2023-08-23,5.0,1900.0,1805.0,Finance,Post-IPO,220,2023,34.05223,-118.24368
291,Getir,London,United Kingdom,Europe,2500.0,2023-08-22,11.0,22727.0,20227.0,Food,Series E,1800,2023,51.50853,-0.12574
298,Twiga,Nairobi,Kenya,Africa,283.0,2023-08-20,33.0,858.0,575.0,Food,Series C,157,2023,-1.28333,36.81667
305,AppFolio,Santa Barbara,USA,North America,149.0,2023-08-17,9.0,1656.0,1507.0,Real Estate,Post-IPO,30,2023,34.42083,-119.69819
307,StreamElements,Tel Aviv,Israel,Asia,60.0,2023-08-17,35.0,171.0,111.0,Media,Series B,111,2023,32.08088,34.78057
311,SecureWorks,Atlanta,USA,North America,300.0,2023-08-14,15.0,2000.0,1700.0,Security,Post-IPO,83,2023,33.749,-84.38798
320,Blend,San Francisco Bay Area,USA,North America,150.0,2023-08-09,19.0,789.0,639.0,Finance,Post-IPO,665,2023,37.77493,-122.41942
323,Dealtale,Tel Aviv,Israel,Asia,70.0,2023-08-09,100.0,70.0,0.0,Sales,Acquired,2,2023,32.08088,34.78057
328,Thoughtworks,Chicago,USA,North America,579.0,2023-08-08,5.0,11580.0,11001.0,Other,Post-IPO,748,2023,41.85003,-87.65005
329,Rapid7,Boston,USA,North America,470.0,2023-08-08,18.0,2611.0,2141.0,Security,Post-IPO,89,2023,42.35843,-71.05977
331,Doximity,San Francisco Bay Area,USA,North America,100.0,2023-08-08,10.0,1000.0,900.0,Healthcare,Post-IPO,82,2023,37.77493,-122.41942
332,23andMe,San Francisco Bay Area,USA,North America,71.0,2023-08-08,11.0,645.0,574.0,Healthcare,Post-IPO,1100,2023,37.77493,-122.41942
